"Name","Species","Colony","Nesting","sum_move_sec","sum_pause_sec","mean_move_sec","mean_pause_sec","sum_steps_move","sum_steps_pause","sum_steps_move_norm","sum_steps_pause_norm","mean_speed_move","mean_speed_move_norm","Traveled.dis","Traveled.dis.bl","mean_speed","mean_speed_norm"
"cfd_3","Cop_formosanus","cfd","CP",3523.4,74.6,15.5902654867257,0.331555555555556,51756.8798329377,126.974111321361,10263.0633239408,25.1781666359827,14.689470350496,2.91282946129898,51883.853944259,10288.2414905768,14.7255077323775,2.91997544717511
"cfd_4","Cop_formosanus","cfd","CP",3386.6,206,9.32947658402204,0.569060773480663,49089.1124512671,247.605182217313,9855.60341399547,49.7116031911661,14.4951020053349,2.91017640524286,49336.7176334844,9905.31501718663,14.568215210974,2.92485531718734
"cfd_5","Cop_formosanus","cfd","CP",3521.2,78.4,15.1775862068966,0.339393939393939,55296.589351852,130.131510533903,11208.7362382572,26.3779338826737,15.7039047347075,3.18321488079553,55426.7208623859,11235.1141721399,15.7408613150022,3.19070605820172
"hs1_1","Hod_sjostedti","hs1","MP",3446.2,141.4,11.262091503268,0.463606557377049,68685.2161918546,346.111319793034,5471.4239146058,27.5710241188112,19.93071098365,1.58766871180019,69031.3275116476,5498.99493872461,20.0311437269014,1.59566912504341
"hs1_2","Hod_sjostedti","hs1","MP",2672.4,923.4,3.31563275434243,1.14565756823821,41737.9918833116,1955.45685575944,2938.38880376918,137.665763778986,15.618167895267,1.09953180802619,43693.4487390711,3076.05456754817,16.349891011477,1.15104571454429
"hs1_3","Hod_sjostedti","hs1","MP",3551.8,43.2,68.3038461538462,0.847058823529412,102083.365434618,101.803117007619,8012.87458424526,7.9908769209784,28.7413045313976,2.2560038809182,102185.168551626,8020.86546116624,28.7699669327174,2.25825369141456
"hs1_4","Hod_sjostedti","hs1","MP",3536,59.4,20.2057142857143,0.341379310344828,75975.1131221068,187.066239320353,6588.21605757778,16.2215329609352,21.4861745254827,1.86318327420186,76162.1793614272,6604.43759053871,21.5390778737068,1.86777081180393
"hs1_5","Hod_sjostedti","hs1","MP",3559.2,38.2,33.577358490566,0.363809523809524,80900.8601535806,103.09665995907,6624.35530308797,8.44180030761139,22.7300685978817,1.86119220698134,81003.9568135397,6632.79710339558,22.7590348430939,1.86356403219701
"hs2_1","Hod_sjostedti","hs2","MP",3573.4,17.2,68.7192307692308,0.337254901960784,74730.0932613221,42.262185725772,6037.17314465477,3.41420867502245,20.9128822021946,1.68947588981216,74772.3554470478,6040.5873533298,20.9247090857581,1.6904313408322
"hs2_2","Hod_sjostedti","hs2","MP",3525.6,46.2,64.1018181818182,0.855555555555556,57625.7315999913,92.994285231885,5095.78596204341,8.22339187855052,16.3449431586088,1.44536701895944,57718.7258852232,5104.00935392196,16.3713200264418,1.44769949907022
"hs2_3","Hod_sjostedti","hs2","MP",3467,128.2,29.8879310344828,1.11478260869565,74683.6917689515,270.989654646082,5315.17749747166,19.2861129425484,21.5413013466834,1.53307686687962,74954.6814235976,5334.4636104142,21.6194639237374,1.53863963380854
"hs2_4","Hod_sjostedti","hs2","MP",3463,95.2,15.7409090909091,0.434703196347032,59494.996302784,221.817222803485,4462.52013924881,16.6377659552266,17.1801895185631,1.28862839712642,59716.8135255875,4479.15790520404,17.2442430047899,1.29343283430668
"hs2_5","Hod_sjostedti","hs2","MP",3519.2,50.4,37.8408602150538,0.547826086956522,66924.1251833453,114.150069158901,5565.16764528285,9.4923059487075,19.0168575765359,1.58137293853229,67038.2752525042,5574.65995123155,19.0492939453581,1.58407022937928
"hs3_2","Hod_sjostedti","hs3","MP",3537.2,60.4,55.26875,0.958730158730159,78352.2359839797,115.375206272264,5740.57321641754,8.45310680221852,22.150920497563,1.6229145132923,78467.6111902519,5749.02632321976,22.183538163025,1.62530428678609
"hs3_3","Hod_sjostedti","hs3","MP",3561,37.8,91.3076923076923,0.994736842105263,83966.4365945062,82.0083068976139,6438.54692344887,6.28839752510624,23.5794542528801,1.80807271088146,84048.4449014038,6444.83532097398,23.6024838251625,1.80983861863914
"hs3_4","Hod_sjostedti","hs3","MP",3455.8,141.6,24.8618705035971,1.02608695652174,72300.8416143179,274.210325873691,4954.90264457095,18.7921113849268,20.9215931518947,1.4337932300975,72575.0519401916,4973.69475595588,21.0009410093731,1.43923107701715
"hs3_5","Hod_sjostedti","hs3","MP",1884.2,1695.6,2.79140740740741,2.51572700296736,28057.9035657593,2302.08656685602,2129.3950184045,174.711972186738,14.8911493290305,1.13013216134407,30359.9901326153,2304.10699059124,16.1129339415217,1.22285691040826
"hs3_7","Hod_sjostedti","hs3","MP",3551.4,7.4,507.342857142857,1.23333333333333,81770.1555478732,11.243085358753,6274.15192145462,0.862672024213034,23.0247664436203,1.76667002349908,81781.3986332319,6275.01459347884,23.027932261427,1.76691293390743
"hs4_2","Hod_sjostedti","hs4","MP",3580,9.4,123.448275862069,0.335714285714286,71906.4573264009,28.3537677370011,7234.83640569981,2.85280180236463,20.0856026051399,2.02090402393849,71934.8110941379,7237.68920750217,20.0935226519938,2.02170089595033
"hs4_3","Hod_sjostedti","hs4","MP",3447.4,133.4,12.3562724014337,0.479856115107914,60745.8835372006,356.98112662165,5456.31781929004,32.064765032895,17.6207819043919,1.58273418207636,61102.8646638223,5488.38258432293,17.7243327330226,1.59203532642656
"hs4_4","Hod_sjostedti","hs4","MP",2464.4,1101.6,2.96201923076923,1.32563176895307,28984.987333861,1911.04857842144,2538.59638164413,167.375646932207,11.7614783857576,1.03010728032955,30896.0359122825,2705.97202857634,12.5369403961542,1.09802468291525
"hs4_5","Hod_sjostedti","hs4","MP",3535.6,61.6,30.2188034188034,0.531034482758621,71967.3244119498,142.492960935606,6778.18554395284,13.4205868541138,20.3550527242759,1.91712454574976,72109.8173728854,6791.60613080695,20.3953550664344,1.92092038997821
"hs4_7","Hod_sjostedti","hs4","MP",3563.4,21,197.966666666667,1.23529411764706,74485.4047663472,33.2226255247828,7196.78116981489,3.20997068537906,20.9029030606576,2.01963887574083,74518.627391872,7199.99114050027,20.9122263545692,2.02053969256897
"hs5_2","Hod_sjostedti","hs5","MP",3156.2,442.6,9.36557863501484,1.3172619047619,73953.5036386134,579.310241245183,6210.44626289332,48.6491504226511,23.4311842210929,1.96769731414147,74532.8138798585,6259.09541331597,23.6147309675745,1.98311115053418
"hs5_3","Hod_sjostedti","hs5","MP",3279.8,292.6,6.57274549098196,0.586372745490982,74006.7313307831,677.361989300585,5472.03032503293,50.0838948001977,22.5644037230267,1.6684036602942,74684.0933200836,5522.11421983313,22.7709291176546,1.68367407153885
"hs5_4","Hod_sjostedti","hs5","MP",3473,126.6,15.7863636363636,0.578082191780822,91975.069613682,297.319698923121,6883.79682492217,22.2526431132958,26.4828878818549,1.98208949753014,92272.3893126051,6906.04946803547,26.5684967787518,1.98849682350575
"hs5_5","Hod_sjostedti","hs5","MP",3531.8,66,54.3353846153846,1.03125,101848.941264089,81.1141751740663,7130.29210621447,5.67868213225766,28.8376865236109,2.01888331904821,101930.055439263,7135.97078834673,28.8606533323696,2.02049119099233
"hs5_7","Hod_sjostedti","hs5","MP",3554.4,44.6,55.5375,0.707936507936508,99934.8697440469,114.299139339973,7069.85276894153,8.0860473308265,28.1158197569342,1.98904253008708,100049.168883387,7077.93881627235,28.1479768409259,1.99131747025443
"ns1_1","Neo_sugioi","ns1","OP",2033.8,1498,2.2276013143483,1.64254385964912,10686.8298549723,795.090411000926,1034.77684691028,76.9864552602884,5.25461198494063,0.508789874574825,11481.9202659732,1111.76330217057,5.64555033236955,0.546643377997132
"ns1_2","Neo_sugioi","ns1","OP",3203,376.4,6.31755424063116,0.742406311637081,21684.6798666724,269.074938613263,2199.0594045386,27.2870883001855,6.77011547507723,0.686562411657385,21953.7548052856,2226.34649283879,6.85412263667988,0.695081639974645
"ns1_3","Neo_sugioi","ns1","OP",3301.2,282.8,6.6289156626506,0.569014084507042,25386.1125494128,220.786381438859,2415.44592021434,21.0074529232211,7.68996502769077,0.7316872410682,25606.8989308516,2436.45337313756,7.75684567152903,0.738050821864039
"ns1_4","Neo_sugioi","ns1","OP",2245.4,1295.2,1.71798010711553,0.991730474732006,9728.6883468981,800.597473560831,1009.66517970072,83.0878082622996,4.33271949180462,0.449659383495466,10529.2858204589,1092.75298796302,4.68926953792595,0.486662950014705
"ns1_6","Neo_sugioi","ns1","OP",3466.6,129.2,11.0753993610224,0.414102564102564,42128.8549114475,107.888406042262,3833.40751066697,9.81702984582933,12.1527880088408,1.10581189369035,42236.7433174898,3843.2245405128,12.1839102629348,1.10864378368222
"ns2_1","Neo_sugioi","ns2","OP",311.4,3038,0.632926829268293,6.18737270875764,846.355128644362,1276.65346180941,80.4894282559782,121.411336381508,2.71790343174169,0.25847600596011,2123.00859045377,201.900764637486,6.81762553132233,0.648364690550693
