"Species","Nesting","Name","Colony","mean_speed_all","sd_speed_all","mean_speed_norm_all","sd_speed_norm_all"
"Hod_sjostedti","MP","hs5_7","hs5",27.7976130482849,5.07468473329303,1.96653112254733,0.359006561023854
"Neo_sugioi","OP","ns1_1","ns1",3.25082680237066,2.85049574062927,0.314768771848972,0.276005797289564
"Neo_sugioi","OP","ns1_2","ns1",6.13301899801253,2.8889130097215,0.621953987271983,0.292966802460656
"Neo_sugioi","OP","ns1_3","ns1",7.14438338565137,3.165961172002,0.679776065269116,0.301235881688634
"Neo_sugioi","OP","ns1_4","ns1",2.97370250238899,2.20470906519025,0.308617540658331,0.228809670442662
"Neo_sugioi","OP","ns1_6","ns1",11.7454792317825,4.24858464086735,1.06874987222269,0.386589103982025
"Neo_sugioi","OP","ns2_1","ns2",0.633809586354721,0.779701222764749,0.0602760821105462,0.0741505586801878
"Neo_sugioi","OP","ns2_2","ns2",0.93138550079012,1.51479371333963,0.105387995577447,0.171401716074335
"Neo_sugioi","OP","ns2_3","ns2",2.64617142827913,2.33320121213944,0.317838799121252,0.280247100943464
"Neo_sugioi","OP","ns2_4","ns2",2.25817765416746,1.65579617191858,0.233143946778436,0.170951498819984
"Neo_sugioi","OP","ns2_5","ns2",2.77488898482474,1.79592981961608,0.276612704386058,0.179025902300356
"Neo_sugioi","OP","ns3_1","ns3",3.04985266816433,2.49761072122092,0.315933902275386,0.258727219762752
"Neo_sugioi","OP","ns3_3","ns3",3.09665381949032,2.07967416637163,0.381478125563623,0.256195961517299
"Neo_sugioi","OP","ns3_4","ns3",2.47432033410981,1.87744462370652,0.306675866975431,0.232697015716319
"Neo_sugioi","OP","ns3_5","ns3",4.96219022543295,2.6256853517712,0.586780657222172,0.310488172838337
"Neo_sugioi","OP","ns3_7","ns3",3.07673635560574,2.22037647592504,0.353569950275934,0.25515946426684
"Neo_sugioi","OP","ns4_1","ns4",7.1952361220875,2.29628688683263,0.851892509640351,0.271872884459355
"Neo_sugioi","OP","ns4_3","ns4",4.21718985670342,1.36034193340781,0.455126792809619,0.146810573465693
"Neo_sugioi","OP","ns4_4","ns4",4.79118743746438,2.43139771081018,0.517261999102621,0.262496438914692
"Neo_sugioi","OP","ns4_5","ns4",5.22136498618739,1.37562553697481,0.542391442953629,0.142898939633111
"Neo_sugioi","OP","ns4_7","ns4",2.84802135124993,1.98936789418545,0.279416767456786,0.195175062866595
"Neo_sugioi","OP","ns5_1","ns5",6.72278104572618,2.50292570842308,0.686406272674155,0.255552559961951
"Neo_sugioi","OP","ns5_2","ns5",4.57108200004396,2.36055175275641,0.535436055688,0.27650445118489
"Neo_sugioi","OP","ns5_3","ns5",5.40625506620571,2.53078697576002,0.57201341936601,0.267772070308081
"Neo_sugioi","OP","ns5_5","ns5",4.8961023254324,2.16514945713896,0.568375963286337,0.251346648122098
"Neo_sugioi","OP","ns5_7","ns5",4.68908575312764,2.02639065483359,0.527273187527629,0.227861360615476
"Odo_formosanus","CP","of10_2","of10",18.3894617484431,5.02117442977223,4.66895208720683,1.27484007714904
"Odo_formosanus","CP","of10_3","of10",12.5785283230634,4.4854938566754,2.95693699476829,1.054441535922
"Odo_formosanus","CP","of10_4","of10",13.9206277366721,4.13785417060499,2.88596583806638,0.857842477017584
"Odo_formosanus","CP","of10_5","of10",16.9097847107594,5.30906307341634,3.78119676152672,1.18715953179285
"Odo_formosanus","CP","of10_7","of10",10.466458787674,5.8938774776509,2.68720223093312,1.51321865667133
"Odo_formosanus","CP","of6_3","of6",17.7077083296607,7.88453221205256,4.67267486263764,2.08055468189546
"Odo_formosanus","CP","of6_4","of6",9.46059423211178,4.93954873853916,2.22084582452478,1.15954409647824
"Odo_formosanus","CP","of6_5","of6",6.74708261922242,4.68985851903061,1.71465393185334,1.19184613607392
"Odo_formosanus","CP","of6_7","of6",11.9046645161577,7.90222210416291,2.67934634483341,1.77852890202103
"Odo_formosanus","CP","of6_8","of6",8.37856728344903,6.9861894894628,1.94726770089034,1.62366436705757
"Odo_formosanus","CP","of7_3","of7",16.4571618286726,7.12683983350786,3.48211705555744,1.50794473523661
"Odo_formosanus","CP","of7_4","of7",16.512825676186,8.07805551115718,3.98535363587619,1.94963045898489
"Odo_formosanus","CP","of7_5","of7",15.1607601521543,4.24655461236524,3.52181874608453,0.986467399391877
"Odo_formosanus","CP","of7_7","of7",22.6456538909319,4.5163616232721,4.73697129971856,0.944723234384376
"Odo_formosanus","CP","of7_8","of7",19.8666432180143,5.4818936071602,4.52280962513388,1.24799951850659
"Odo_formosanus","CP","of8_3","of8",9.08463224820312,6.17628100665901,2.80665876421077,1.90813593153391
"Odo_formosanus","CP","of8_4","of8",19.4552296788066,4.76344989653077,5.24488323888295,1.28416569395677
"Odo_formosanus","CP","of8_5","of8",9.92357805080878,3.86645147596544,2.53225412854983,0.986623742235101
